,Symbol,Company Name
630,HCC,Hindustan Construction Company Limited
631,IFCI,IFCI Limited
632,KSCL,Kaveri Seed Company Limited
633,INOXWIND,Inox Wind Limited
634,DODLA,Dodla Dairy Limited
635,RSYSTEMS,R Systems International Limited
636,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
637,AUTOAXLES,Automotive Axles Limited
638,MIRZAINT,Mirza International Limited
639,GET&D,GE T&D India Limited
640,POWERMECH,Power Mech Projects Limited
641,MAITHANALL,Maithan Alloys Limited
642,VAKRANGEE,Vakrangee Limited
643,HBLPOWER,HBL Power Systems Limited
644,ANANDRATHI,Anand Rathi Wealth Limited
645,GANESHHOUC,Ganesh Housing Corporation Limited
